Library,Version,PyVer,Direct/Indirect,Dependency,Root Cause,Resource,Stage,note
awslimitchecker,12.0.0,2.7,Indirect,GitPython~=3.1 (from versionfinder>=0.1.1->awslimitchecker==12.0.0),NoAvlResource,whl,install,
pmdarima,1.8.0,310,Indirect,numpy,UnsupportedFeatures,gz,install,C
autokeras,1.0.12,2.7,Direct,,UnsupportedFeatures,gz,install,ImportError
ansible-modules-hashivault,1.9.3,2.7,Indirect,httpx,NoAvlResource,gz,install,
alpha-vantage,2.3.1,2.7,Indirect,aiohttp,LocalCompCheck,gz,install,
allennlp,2.7.0,310,Indirect,"torchvision<0.11.0,>=0.8.1",NoAvlResource,whl,install,
pyisbn,1.3.1,2.7,Direct,,UnsupportedFeatures,gz,install,SyntaxError
adafruit-circuitpython-pca9685,3.3.2,2.7,Indirect,Adafruit-Blinka (from adafruit-circuitpython-pca9685==3.3.2),NoAvlResource,gz,install,
adafruit-circuitpython-framebuf,1.4.3,2.7,Indirect,Adafruit-Blinka (from adafruit-circuitpython-framebuf==1.4.3),NoAvlResource,gz,install,
adafruit-circuitpython-esp32sp,3.5.3,2.7,Indirect,Adafruit-Blinka (from adafruit-circuitpython-esp32spi==3.5.3),NoAvlResource,gz,install,
xpinyin,0.7.4,2.7,Direct,,UnsupportedFeatures,gz,install,ImportError
varcode,1.0.3,2.7,Indirect,biopython,LocalCompCheck,gz,install,
pygtrie,2.4.1,2.7,Direct,,UnsupportedFeatures,gz,install,TypeError
tsfresh,0.18.0,3.5,Indirect,dask[dataframe]>=2.9.0 (from tsfresh==0.18.0),NoAvlResource,whl,install,
pygal,2.4.0,310,Direct,,UnsupportedFeatures,whl,runtime,ImportError
patsy,0.5.1,310,Direct,,UnsupportedFeatures,whl,runtime,ImportError
tabulate,0.8.7,310,Direct,,UnsupportedFeatures,whl,runtime,ImportError
pyecharts,1.9.0,310,Direct,,UnsupportedFeatures,whl,runtime,ImportError
kafka,1.3.5,38,Direct,,UnsupportedFeatures,whl,runtime,SyntaxError
pyxel,1.4.3,310,Direct,,UnsupportedFeatures,whl,runtime,ImportError
scrapinghub,2.3.1,310,Direct,,UnsupportedFeatures,whl,runtime,ImportError
uiautomation,2.0.8,310,Direct,,UnsupportedFeatures,whl,runtime,ImportError
apache-airflow-backport-providers-grpc,2021.3.17,310,Indirect,apache-airflow 1.10.15,UnsupportedFeatures,whl,runtime,ImportError
apache-airflow-backport-providers-openfaas,2021.3.3,310,Indirect,apache-airflow 1.10.15,UnsupportedFeatures,whl,runtime,ImportError
apache-airflow-backport-providers-redis,2021.3.17,310,Indirect,apache-airflow 1.10.15,UnsupportedFeatures,whl,runtime,"ImportError, 19 similar libraries are omitted"
tinydb-smartcache,2.0.0,3.5,Indirect,tinydb 4.5.2,UnsupportedFeatures,whl,runtime,SyntaxError
pypuppetdb,2.5.0,3.5,Direct,,UnsupportedFeatures,whl,runtime,SyntaxError
pyisbn,1.3.1,3.5,Direct,,UnsupportedFeatures,whl,runtime,SyntaxError
nlp,0.4.0,3.5,Direct,,UnsupportedFeatures,whl,runtime,SyntaxError
pulumi,3.5.0,2.7,Direct,,UnsupportedFeatures,whl,runtime,SyntaxError
injector,0.18.4,2.7,Direct,,UnsupportedFeatures,whl,runtime,SyntaxError
einops,0.3.0,2.7,Direct,,UnsupportedFeatures,whl,runtime,SyntaxError
parsy,1.3.0,2.7,Direct,,UnsupportedFeatures,whl,runtime,SyntaxError
banal,1.0.6,2.7,Direct,,UnsupportedFeatures,whl,runtime,SyntaxError
aiocache,0.11.1,2.7,Direct,,UnsupportedFeatures,whl,runtime,SyntaxError
